q,density,realpsi,imagpsi,phase
-7.564,8.010486332623606e-26,1.0021048828122756e-13,-2.6469363680427606e-13,-378.2
-7.562,8.256522342115729e-26,1.2805754587532533e-13,-2.572284750286139e-13,-378.1
-7.56,8.510047080302867e-26,1.554305272084699e-13,-2.468639747203422e-13,-378.0
-7.558,8.771286377397492e-26,1.8203053620957753e-13,-2.3361880844920984e-13,-377.9
-7.556,9.040472809032259e-26,2.075575427658618e-13,-2.1754216724883485e-13,-377.8
-7.554,9.31784589577251e-26,2.317134691583381e-13,-1.9871418461784002e-13,-377.7
-7.552,9.603652308470378e-26,2.542053507555908e-13,-1.7724605138600644e-13,-377.59999999999997
-7.55,9.898146079630061e-26,2.7474854031189147e-13,-1.5327981078010748e-13,-377.5
-7.548,1.0201588820958581e-25,2.930699238223658e-13,-1.2698782603201972e-13,-377.4
-7.546,1.0514249947280146e-25,3.08911114786695e-13,-9.85719160513927e-14,-377.3
-7.544,1.0836406906999437e-25,3.220315929440205e-13,-6.826215800816049e-14,-377.2
-7.542,1.1168345419302213e-25,3.322117530820651e-13,-3.631535910827729e-14,-377.09999999999997
-7.54,1.1510359718289887e-25,3.3925582940958875e-13,-3.0132033636810572e-15,-377.0
-7.538,1.1862752804246624e-25,3.429946612231351e-13,3.133991727642307e-14,-376.90000000000003
-7.536,1.2225836702247043e-25,3.432882662063024e-13,6.641937448923554e-14,-376.79999999999995
-7.534,1.2599932728314108e-25,3.400281886765631e-13,1.018830613422892e-13,-376.7
-7.532,1.298537176334979e-25,3.33139591442211e-13,1.3737441627615608e-13,-376.6
-7.53,1.3382494535057653e-25,3.2258306164776565e-13,1.7252568993784774e-13,-376.5
-7.528,1.379165190809321e-25,3.0835610306323124e-13,2.069614282531651e-13,-376.4
-7.526,1.4213205182674492e-25,2.9049428970022733e-13,2.4030214205933605e-13,-376.3
-7.524,1.4647526401903516e-25,2.69072058402024e-13,2.7216813076907613e-13,-376.2
-7.522,1.509499866804265e-25,2.442031211358476e-13,3.021834249391205e-13,-376.1
-7.52,1.5556016468010215e-25,2.1604048109172144e-13,3.2997981030626665e-13,-376.0
-7.518,1.6030986008357039e-25,1.8477604033778474e-13,3.552008938624166e-13,-375.9
-7.516,1.6520325560000734e-25,1.5063979066514457e-13,3.775061709010447e-13,-375.8
-7.514,1.7024465812996272e-25,1.1389858334521617e-13,3.965750507053054e-13,-375.7
-7.512,1.7543850241632546e-25,7.485447778124707e-14,4.1211079768967744e-13,-375.59999999999997
-7.51,1.8078935480152674e-25,3.3842673423588925e-14,4.238443443731095e-13,-375.5
-7.508,1.8630191709405662e-25,-8.770966204695888e-15,4.315379325689605e-13,-375.4
-7.506,1.9198103054740123e-25,-5.259278400477965e-14,4.349885396398712e-13,-375.3
-7.504,1.978316799546741e-25,-9.720457643674575e-14,4.3403104759271193e-13,-375.2
-7.502,2.0385899786222995e-25,-1.4216719493640213e-13,4.2854111418409433e-13,-375.09999999999997
-7.5,2.1006826890574984e-25,-1.870244748877884e-13,4.184377070708337e-13,-375.0
-7.498,2.164649342722271e-25,-2.313074611976508e-13,4.036852643663432e-13,-374.90000000000003
-7.496,2.2305459629155e-25,-2.7453889548640486e-13,3.8429544774386133e-13,-374.8
-7.494,2.29843023161369e-25,-3.162379261206453e-13,3.6032845744442983e-13,-374.7
-7.492,2.368361538090687e-25,-3.5592499881188083e-13,3.3189388218198797e-13,-374.6
-7.49,2.440401028948215e-25,-3.9312688234027345e-13,2.991510609645874e-13,-374.5
-7.488,2.514611659597309e-25,-4.27381781174029e-13,2.623089382393313e-13,-374.40000000000003
-7.486,2.5910582472324275e-25,-4.582444843861311e-13,2.21625398483413e-13,-374.3
-7.484,2.669807525341027e-25,-4.852914983552228e-13,1.7740607136804949e-13,-374.2
-7.482,2.750928199792991e-25,-5.081261093141189e-13,1.300026038685197e-13,-374.1
-7.48,2.834491006554541e-25,-5.263833209036219e-13,7.981040113875319e-14,-374.0
-7.478,2.9205687710738103e-25,-5.397346115289982e-13,2.726584355970745e-14,-373.9
-7.476,3.0092364693853723e-25,-5.478924565206246e-13,-2.715700694724559e-14,-373.8
-7.474,3.100571290983951e-25,-5.506145608839215e-13,-8.295019253143062e-14,-373.7
-7.472,3.1946527035166455e-25,-5.47707749796508e-13,-1.3957611244231708e-13,-373.6
-7.47,3.2915625193468872e-25,-5.390314659759991e-13,-1.96472213359686e-13,-373.5
-7.468,3.3913849640428804e-25,-5.245008255972157e-13,-2.5305608143675803e-13,-373.4
-7.466,3.494206746846294e-25,-5.040891875740715e-13,-3.0873089520736653e-13,-373.3
-7.464,3.6001171331772897e-25,-4.778301947239987e-13,-3.6289119351088484e-13,-373.20000000000005
-7.462,3.709208019234199e-25,-4.458192495800163e-13,-4.1492890791957486e-13,-373.09999999999997
-7.46,3.821574008747918e-25,-4.0821439237941387e-13,-4.642396048691858e-13,-373.0
